text,page,book
"95 وكانت البلدتان أودغشت وسجلماسة أكبر المراكز التجارية في إفريقية كلها، تحدث عنها الجغرافيون العرب في تفصيل كثير، وأوفاها كلاماً عنها أبو عبيد البكري والحسن الوزان المعروف بليون الإفريقي، والشريف الإدريسي، وابن حوقل، ولهذا يُعتبر استيلاء حكام غانَة مِن السُّونَنكَة (قبائل من غانة) على أودغشت حادثاً فاصلاً في تاريخ انتشار الإسلام في إفريقية المدارية لأنه مكنهم من السيطرة على طريق التجارة "". وثيقة 2 المرجع د. حسين مؤنس / أطلس تاريخ الإسلام ... كان للمسلمين من العرب والبربر في شمال إفريقيا وعبر الصحراء - بحكم صلاتهم التجارية والثقافية مع غرب إفريقيا - أكبر الأثر في انتشار الإسلام في هذه المناطق الغربية، وكان الإسلام قد انتشر إلى الحد الذي تمخضت عنه مملكة غانة الإسلامية في القرن الرابع الهجري، ومملكة السنغال التي أسلم ملكها عام 400 هـ وشهد القرن الخامس الهجري ميلاد مدينة العلم والثقافة الإسلامية في تمبكتو في وسط الصحراء، ومن هذه الذيار انطلقت حركة المرابطين تحت قيادة المجاهد عبد الله بن ياسين من جزيرة صغيرة على نهر السنغال في أوائل القرن الخامس الهجري، ومن هناك انتشرت في الشمال الإفريقي، إلى أن استولت على الأندلس وعرفت هذه المنطقة أيضاً مملكة "" كانو "" الإسلامية التي استمرت من القرن الخامس الهجري حتى بداية القرن الماضي، كما عرفت ممالك إسلامية أخرى في مالي وغاؤ والداهومي وممالك الفلاني والهوسا والبرنو... وثيقة 3 المرجع : د.عون الشريف الإسلام في إفريقيا - بتصرف 1 - قيد أسماء المدن في الخريطة الوثيقة (1) التي ورد ذكرها في الوثيقتين (2) و(3). 2 - اذكر مدناً أخرى في الخريطة الوثيقة (1) تُعَدُّ من المراكز التجارية الكبرى سبق ذكرها في كتابك هذا. - رتب المفاهيم التاريخية الواردة في الوثيقة (3)، والتي أصبحت من مكتسباتك القبلية. - اربط بين التجارة ونشر الإسلام في إفريقيا مبرزاً دور الجزائر في هذا الشأن بالاعتماد على الوثائق (1) )3(2) و(",87,JS2
"الميدان الثالث التاريخ العام الوضعية الأولى خريطة انتشار الإسلام في الشرق والغرب 96 تعلم الإدماج وثيقة 1 خريطة تاريخية السفلية تعود لبيري رئيس ...... "" استولى العرب الفاتحون على صقلية عام 827 م حيث هبطت أول جيوش الفتح في منطقة ""مازارادي فاللو"". .... ولم يجتاحوا الجزيرة دفعةً واحدةً، ولكنهم كانوا يهبطون بقوة صغيرة من الجنود ويستولون عليها، ويبقون ساكنين لفترة من الزمن، ثم يقفزون للاستيلاء على مكان آخر، وهكذا تساقطت المدن الواحدة تلو الأخرى حتى سقطت باليرمو عام 831 م، وكانت تورمينا آخر مدينة استولى عليها العرب عام 948 م، وبفضلهم أصبحت باليرمو عاصمة الجزيرة الآن.. وثيقة 2 المرجع عن مجلة العربي الكويتية / عدد جويلية 1995 خط سير طارق بن زياد بحر الروم قرطاجنة الموية بغرناطة شلونة خط مع طارق بن زياد وثيقة 3 المرجع: سيف الدين الكاتب / أطلس تاريخ العرب والعالم / ص 60 بتصرف المرجع سيف الدين الكاتب / نفس المرجع السابق / ص 60 بتصرف - خط سير موسى بن نصير بحر الروم قرطبة قرطاجنة الدرية - غرناطة القرط خط مع موسى بن نصح سينة منتجة بحر الظلمات",88,JS2
"97 وانتهم الوقود والرفاق من كل الأمصار وأقاصي الأقطار ... حتى لا ترى بيتاً في تيهرت) إلا قيل هذا لفلان الكوفي، وهذه الفلان البصري، وهذه لفلان القروي ... واستعملت السبل إلى بلاد السودان وغيرها من البلدان. من مشرق ومغرب، بالتجارة وصنوف الأمتعة، والعمارة زائدة، والنَّاسُ والتجار من كل الأقطار قابلون"". وثيقة 14 المرجع ابن الصغير أخبار أئمة بني رستم نمط المساجد في البلاد الإفريقية منظر من تيارت بلد الخيل الأصيلة استطاع النجار العرب والمسلمون المستقرون في مدينة غانة أن يجدوا لهم مجتمعات خاصةً لهم، وحسب البكري فإن غانة بها مدينتان سهليتان إحداهما مدينة كبيرة يسكنها المسلمون وفيها إثنا عَشَرَ مسجداً، ولهم الأئمة والمؤذنون، وفيها فقهاء وحَمَلةُ عِلْمٍ ... ومدينةُ المَلِكِ على بعد ستة أميال وتُسمى الغابة.. وفيها مسجد يُصلي فيه مَنْ يَفِدُ على المَلِكِ من المُسلمين على مَقْرُبَةٍ مِن مَجلسِ حُكْمِ المَلِك"". وثيقة 5 المرجع د. صباح إبراهيم الحشيخلي الفريقية الإسلامية 1 - يعود نوع هذه الخرائط إلى ما قبل القرن 15م: الوثيقة (1) ، بين أهمية "" صقلية "" تاريخاً وجغرافية. 2 - يصف النص: الوثيقة (2) عملية فتح المُسلمين صِقِلَيْةَ، وَضح ذلك معتمداً على ما توصلت إليه من إجابة في السؤال الأول. 3 - عدد الإطار الزمني للخرائط : الوثيقة (3) . 4 - ما الأساس الذي جعل من "" تيهرت "" مركزاً تجارياً هاما الوثيقة (4) . 5 - أبرز دور المسجد في البلاد الإفريقية من خلال نص الوثيقة (5) .",89,JS2
الميدان الثالث التاريخ العام الوضعية الثانية مظاهر الحضارة الإسلامية 98 1 - التطور العلمي : قسم المسلمون العلوم إلى نقلية وعقلية. ا - العلوم النقلية وتشمل: علوم القرآن القراءات التفسير، أسباب النزول. وهو قواعد تدوين الأحاديث النبوية الشريفة. ظهر خلال القرن الثاني للهجرة وأشهر المحدثين الإمامان البخاري ومسلم. علم الحديث علم الفقه تستند قواعد الفقه إلى أربعة أركان القرآن والسنة والإجماع والاجتهاد، ومن أشهر الفقهاء الأئمة الأربعة مالك الشافعي ابن حنبل، وأبو حنيفة. علوم اللغة وتتمثل في الأدب الشعر - النثر والنحو والبلاغة وعلم العروض، وقد برز عدة علماء منهم أبو الأسود الدولي وسيبويه في علم النحو والجرجاني في علم البلاغة والخليل بن أحمد في علم العروض. وثيقة 1 مجالس الذكر والعلم وثقة 2 مجلس علمي الدراسة مقامات الحريري بغداد,90,JS2
ب . العلوم العقلية: الطب اعتنى الخلفاء في الدولة الإسلامية به فأنشؤوا المستشفيات وبنوا المدارس لتدريسه، فبرزت نخبة من الأطباء أشهرهم الطبيب الرئيس ابن سينا وأبو بكر الرازي، وقد ظهرت عدة مؤلفات في هذا المجال منها كتاب الحاوي في الطب. الكيمياء والصيدلة كان للمسلمين دور كبير في اكتشاف ترکیبات كيمياوية جديدة استخدمت في الصناعة كالأصباغ والدباغة وتوصلوا إلى اختراع الأحماض مثل حمض النترون، واهتموا بالصيدلة من خلال دراسة علم النبات فألفوا كتباً أشهرها: كتاب القانون لابن سينا، وكتاب الجامع المفردات الأدوية، والأغذية لابن البيطار الأندلسي، وكتاب السموم لجابر بن حيان. وثيقة 4 99 لأولوية التوزيع و تبغى ان الطربية على القربات وثيقة 3 علم الفلك : نقل المسلمون عن اليونان والفرس هذا العلم من خلال الترجمة، فنبغ عدة علماء من أشهرهم البيروني وأبو موسى المصري ومحمد الفرغاني. وأثبت المسلمون كروية الأرض ودورانها وتمكنوا من اختراع الإسطرلاب، وأنشؤوا لذلك المراصد الفلكية. الرياضيات أخذ المسلمون هذا العلم عن الإغريق، فطوروه واخترعوا الأرقام العربية وعرفوا العمليات الحسابية والمعادلات وبرعوا في الهندسة فعرفوا قياسات مختلف الأشكال الهندسية، وأشهر التاريخ والجغرافيا: اهتم المسلمون بتدوين العلماء محمد بن موسى الخوارزمي واضع علم الجبر. 1 - لاحظ الوثائق من (1) إلى (4) . ماذا تستنتج؟ 2 - ما الصور التي تقترحها لإبراز علم الرياضيات وعلم التاريخ وعلم الجغرافيا ؟ تاريخ الأمم والسير والوقائع الإسلامية، واشتهر في هذا العلم الطبري، وابن هشام، والمسعودي وابن الأثير، وابن خلدون. أما الجغرافيا فتعلمها المسلمون عن اليونان وطوروها، وقد كان للرحلات فضل كبير في وصف البلدان، حيث اشتهر في هذا الميدان ابن بطوطة ومن الجغرافيين ابن حوقل والشريف الإدريسي.,91,JS2
الميدان الثالث التاريخ العام الوضعية الثانية مظاهر الحضارة الإسلامية 100 2 - التطور العمراني اهتم المسلمون بإنشاء المدن التي عرفت تطورا كبيرا، وكانت في البداية فضاءات حصينة يأوي إليها الجنود الفاتحون وعائلاتهم، فكانت البصرة والكوفة بالعراق والفسطاط بمصر والقيروان بإفريقية، ثم عمد الخلفاء إلى تخطيط وإنشاء العواصم على غرار عواصم الدول الكبرى فكانت دمشق ثم بغداد والقاهرة. كما اهتم المسلمون ببناء المساجد التي تجسدت فيها مظاهر الفن المعماري الإسلامي، أشهرها الجامع الأموني بدمشق وجامع عقبة بالقيروان والجامع الأزهر بمصر، ثم جامع الزيتونة بتونس وجامع قرطبة بالأندلس وغيرها.. الأزهر الجامع الأموي القيروان وثيقة 1 نمط العمارة الإسلامية وثيقة 2 طلقة علي حماد المعاضيد المسيلة أما العمارة الحربية (القلاع والحصون) وتعرف بالرباطات وهي الأماكن التي أنشأها المسلمون ليتحصنوا بداخلها فأشهرها: القيروان، سوسة، الكوفة قلعة بني حماد بالجزائر.,92,JS2
101 3 - التطور الفني : 1. الموسيقى: اهتم المسلمون بالموسيقى والنغم والإيقاع، وازدهرت هذه الفنون خاصة في العهد العباسي حيث اخترع الفرابي آلة القانون. ومن أشهر الموسيقيين: إسحاق الموصلي، الأصفهاني، وزرياب. وثيقة 4 صورة لزخرفة إسلامية وثيقة 3 صورة العزف على الآلات الموسيقية ب - الزخرفة : تطور فن الزخرفة كثيراً حيث استعمل في زخرفة الأواني، والمعادن والمباني والمنسوجات وكتابة الآيات القرآنية. أما النحت فلم يظهر الاهتمام به إلا في العهدين الأموي والعباسي، وقد نُحتت التماثيل لتزيين القصور والحدائق كما استعملوا الرسم لتصوير رحلات الصيد وحفلات الغناء. ما شما ماكارووها صفحة من نسخة نفيسة يرجع تاريخها للقرن الثالث الهجري. 1 - أذكر البلدان التي توجد بها هذه المساجد. الوثيقة (1) وما الذي يميز نمطها العمراني؟ 2 - حدد موقع قلعة بني حماد على خريطة الجزائر. الوثيقة (2) . 3 - قدم وصفاً للوثيقة (3). - علق على موضوعات الوثيقة (4). واكشف عن جانبها الجمالي.,93,JS2
"الميدان الثالث التاريخ العام الوضعية الثانية 102 4- التطور الاقتصادي أ - الزراعة: مظاهر الحضارة الإسلامية لم يؤخر اهتمام المسلمين بنشر الإسلام الزراعة وتقدمها، فمُسِحَتِ الأراضي في زمن الراشدين واحتفظت الحكومة بسجلاتها، وأقيمت الجسور حول الأنهار لمنع فيضانها، وفي عهد الأمويين جففت المستنقعات وأنشئت السدود في جبال الغسير - سد عبد الله بن معاوية، وفي عهد العباسيين، عملت الدولة على شق القنوات وتجفيف المستنقعات، وتشييد جداول جديدة لتحسين الزراعة وتوسيعها وشكلت شرطة نهرية، وأنشأت ديوانا خاصا بها « ديوان الماء "". وثيقة 1 | ب - الصناعة: الري وطريقة تقسيم المياه إن وفرة الموارد الأولية نباتية ومعدنية إضافة إلى خبرة سكان البلاد المفتوحة في مجال الحرف والصناعات مكنت من ازدهار الصناعة فاحتلت مكانة هامة في اقتصاد الدولة، فتطور القديم وظهر الجديد من الصناعات مثل: صناعة الورق والعتاد الحربي، وبناء السفن التجارية، وصناعة الساعات والزجاج وزخرفته، والنجارة والمنسوجات. وقد برز في العهد العباسي التخصص الحرفي حيث كانت هناك أحياء خاصة للحدادين والنجارين والعطارين والوراقين وغيرهم..... أواني بزخرفة إسلامية المنجنيق من صناعات العتاد الحربي",94,JS2
"ج - التجارة: 103 شهدت الدولة الإسلامية حركة تجارية كبيرة بفضل عدة عوامل منها: الموقع الجغرافي والإستراتيجي للعالم الإسلامي الذي يُشرف على طرق تجارية برية وبحرية (مضايق، معابر، ويحار). ازدهار الزراعة والصناعة إذ توفر المنتوج الفائض على الاستهلاك المحلي وجهز للتسويق. اهتمام الحكام بالتجارة فأمنوا الطرق وأقاموا محطات استراحة القوافل، وحفروا الآبار وأنشؤوا الموانئ والمرافق المجهزة بالمنارات، وراقبوا الأسواق (نظام الحسبة). نك عملة إسلامية قوية هي الدينار الذهبي والدرهم الفضي للتعامل التجاري. ابتكار التجار المسلمين أساليب جديدة في المعاملات التجارية المتمثلة في الصكوك والإيصالات ووثائق الشحن والوكالات. من البضائع المتداولة: الحرير، التوابل العاج، الذهب التمور، المعادن، الحبوب والعطور .... الخ.. درهم فضي أموي الوليد بن عبد الملك 92 هـ معرقند. خراسان استهان. بلاد السند سقط وثيقة 2 الكانات محطات استراحة القوافل الامواطنية الكار والتحية بحر يتطس . القسطنطينية الأندلس القرطاج مشق البحر الأبيض المتوسطة القيروان تيمة السيئة الإسكندرية. البصرة. الطولة المدينة المنورة. المحيط الهندي بحر العربي صلحاء بحر الظلمات الدولة الإسلامية في عهد الرسول . عواصم الخلافة الإسلامية الدولة الإسلامية في عهد الخلافة الرائدة . مدن من تأسيس المسلمين الدولة الإسلامية في العهد الأموي مدن تاريخية الإمبراطورية البيزنطية 2000 1000 500 0 كم 1/12 500 000 وثيقة 3 تطور الدولة الإسلامية منذ عهد الرسول الله 1- وضح من خلال نص الوثيقة (1) اهتمام الخلفاء في الدولة الإسلامية بالزراعة. 2 - يعد الاهتمام بالخانات الوثيقة (2) دليلا على ازدهار التجارة وتوفر الأمن، وضح ذلك. 3 - استنتج من الخريطة وثيقة (3) معنى «موقع إستراتيجي"".",95,JS2
الميدان الثالث التاريخ العام الوضعية الثانية مظاهر الحضارة الإسلامية 104 تعلم الإدماج مدينة بغداد دار السلام) شرع الخليفة أبو العباس المنصور في بناء عاصمة الدولة التي سماها دار السلام في مكان يدعى بغداد الفظ فارسي) عام 145هـ وجلب لها المهندسين والبنائين من جميع أنحاء العالم حتى بلغ عددهم الآلاف. جعلها مدورة وجعل مقره والمسجد في وسطها حتى لا يكون أحد أقرب إليه من الآخر. ورأى أن يكون للمدينة سوران أحدهما داخلي والآخر خارجي في شكل متواز يحيط بالداخلي يُملأ ماء. وعلى السور الخارجي 163 برجا سمك كل منها خمسة أذرع ويتخلل السور أربعة أبواب سماها باب الكوفة باب خراسان، باب الشام، باب البصرة. وكانت الطرق أشبه بالأشعة المنطلقة من مركز المدينة إلى أطرافها بحيث يمكن لمن يقف في نهاية أحد شوارع المدينة أن يرى قصر الخليفة وجامعه. و سرعان ما ازدحمت دار السلام (بغداد) بالوافدين عليها من كل صوب حيث قصدها العلماء والتجار والصناع والراغبون في الحياة الرفيهة الآمنة، فكره المنصور أن يبقى مقيما في ذلك الوسط المزدحم فبنى له قصرا خارج المدينة عام 171هـ ما لبث أن انتشرت حوله العمائر فالتحقت بالمدينة القديمة واتسعت أرجاؤها فغدت أكبر مدينة في العالم آنذاك وتجاوز سكانها مليون نسمة .. رسم تخيلي يقارب الواقع لمدينة بغداد المدورة، من رسم (جان سويتف),96,JS2
من علماء هذا العصر في الأدب والسياسة والاجتماع والتاريخ في المشرق اسم العالم عبد الله بن المقفع أبو عثمان بن بحر الجاحظ أبو الطيب المتنبي» أبو الفرج الأصفهاني بديع الزمان الهمداني أبو العلاء المعري الإمام أبو حامد الغزالي الشيخ ابن تيمية المؤرخ أبو الفدا ابن خلکان الخوارزمي أبو بكر الرازي وفاته سنة أهم انجازاته 142هـ / 757م كتاب كليلة ودمنة 256هـ / 869م الحيوان - البخلاء - البيان والتبيين 354 هـ/965م له ديوان شعر عنوانه يتيمة الدهر. 356هـ / 967م كتاب الأغاني - 24 مجلدا 398هـ / 1008م اشتهر بالمقامات 494هـ / 1057م رسالة الغفران...... 505هـ/1111م إحياء علوم الدين تهافت الفلاسفة 729هـ / 1328م السياسة الشرعية 733هـ / 1332م المختصر في تاريخ البشر 681هـ / 1282م وفيات الأعيان 164 هـ - 235 م المختصر في حساب الجبر والمقابلة 250 هـ - 311 م كيفيات الإبصار - سر أسرار الكيمياء 105 جمال الزخرفة الإسلامية في مساجد أصفهان صورة تخيلية للعالم ابن نفيس 1 - أظهر تخطيط مدينة بغداد في القرن التاسع الميلادي تطوراً في مستوى العمران، وضح ذلك من خلال النص. 1 - ما الذي جعل بغداد تزدحم بالوافدين إليها من كل صوب؟ ال أربط بين تاريخ تأسيس بغداد والتواريخ الواردة في جدول مشاهير العلماء.,97,JS2
"الميدان الثالث التاريخ العام الوضعية الثالثة تأثيرات الحضارة الإسلامية 106 1 - في المشرق الإسلامي "" لم يكن الشرق الإسلامي في ذلك الحين في حالة انهيار أو فقر أو تفكك، فقد توالت عليه... الدول العظيمة التي أقامت حكومات قوية أقرت النظام ورعت الحضارة والعمران وساد الرخاء... فقد كانت الحروب في تلك العصور أمرا داخليا بين الملوك والسلاطين وجنودهم وخصومهم، وفيما عدا ذلك كان الزراع يعملون في مزارعهم وأهل المدن آمنين إلى حد كبير في مدنهم وطرق التجارة عامرة بالقوافل والتجار، وفي أيام السلاجقة التي طالت تمتعت البلاد بفترات طويلة من الازدهار والرخاء والاستقرار.. ثم إنهم كسبوا انتصار ""ملازكرد"" ولا غرابة والحال هذه أن يجد هذا العصر الذي يمتد من القرن 5 إلى 7 هـ حافلا بالعلم والعلماء والمباني العظيمة"". وثيقة 1 1.1 - التطور السياسي سقوط بغداد حاضرة الدولة العباسية وعاصمة الخلافة الإسلامية يوم 9 صفر 656 هـ / 10 فبراير 1258م على يد المغول بقيادة هولاكو، فدمروها وأبادوا معظم سكانها. حتى قيل أنهم ما تركوا حجرا على حجر..... المرجع د. حسين مؤنس / أطلس التاريخ الإسلامي / 6 / 1987 / ص 238 الدول )السلاجقة (530-447هـ 1135-1055م الأيوبيون )648-564هـ( 1250-1169م )المماليك (932-648هـ 1517-1250م وثيقة 2 صورة لحصار بغداد نسبها وموطنها أشهر القادة وهم من تركستان ينتمون إلى زعيمهم - ""سلجوق"" الذي وحد قبائلهم طغرل بك مؤسس الدولة ألب أرسلان ملکشاه ينحدرون من أصل كردي من بلاد - أذربيجان وتنسب الأسرة الأيوبية إلى نجم - أسد الدين شركوه صلاح الدين الأيوبي الدين أيوب والد صلاح الدين. أتراك وشراكسة وروم وأكراد وهم من بلاد القوقاز وفارس وآسيا الصغرى . الظاهر بيبرس - قلاوون وابنه الناصر - 1 - 2 - التطور العسكري معركة ملاز کرد ألب أرسلان"" الأسد الشجاع معركة حطين صلاح الدين الأيوبي معركة عين جالوت قطر والظاهر بيبرس 464هـ/1071م 583هـ/1187م 659 هـ /1260م",98,JS2
"107 ... وفي رمضان سنة 856 هـ التقى الجيشان في عين جالوت وأظهر المماليك شجاعة بالغة، وكانت القيادة العامة لـ ""قطر"" سلطان مصر وبجواره بيبرس أعظم المماليك البحرية، ويروى أنه حدث بعض الاضطراب في صفوف الجيش ... فألقى السلطان قطز خوذته عن رأسه إلى الأرض وصرخ بأعلى صوته ""وا إسلاماه"" وحمل على العدو حملة جريئة، فتم القضاء على التتار قضاء تاما... "" وثيقة 3 تعتبر معركة «ملاز کرد» نقطة تحول في التاريخ حيث الحق السلاجقة هزائم حاسمة بالجيوش | البيزنطية وأسروا الإمبراطور نفسه. 40 المرجع د. أحمد شلبي موسوعة التاريخ الإسلامي والحضارة الإسلامية القاهرة | القرم بحر بنطس القسطنطينية ملاذ كرد أنقرة الإمراطورية البيزنطية . قونية . أظنة انطاكية . سلطنة السلاجقة نهر الفرات قبرص بحر الروم الجيش السلجوقي الجيش البيزنطي معركة ملاذ كرد 40 نور الدين زنكي: هو ابن عماد الدين زنكي مؤسس الأتابكة الذي وحد شمال سورية والجزيرة وهزم الصليبيين في معارك عديدة، ثم جاء ابنه نور الدين (1146) - 1174م) (541 - 570هـ) ليتم ما بدأه والده ويحرر أغلب مدن سورية من الصليبيين. وكان عصره بداية النهاية للصليبيين في الشرق العربي، وعصر ازدهار عظيم للعلوم والفنون.. 1 - أبرز مظاهر التطور الحضاري في هذه الفترة الزمنية مستعيناً بـ الوثيقة (1) . 2 - أنجز سلما زمنيا للأحداث والوقائع الواردة في صفحتين. - ابحث موضوع سقوط بغداد الوثيقة (2) ، واقترح صورا أخرى للموضوع. - أبرز الجانب القيمي في الأحداث العظيمة: الوثيقة (3) .",99,JS2
"الميدان الثالث التاريخ العام الوضعية الثالثة تأثيرات الحضارة الإسلامية 108 ب - الحركة الفكرية والعلمية .... أما الحضارة الجديدة - الإسلامية - التي انبثقت من هذه الفتوحات فقد كانت من أزهى الحضارات. فقد أفادت الغرب من علومها في شتى الميادين بعد أن حضنت النصيب الأكبر من التراث القديم وأمدته بالحياة ثم امتزج التاريخ الإسلامي بالتاريخ الغربي امتزاجا مستمرا سواء في الحرب أو في السلم ونهلت الحضارتان من معين واحد"". وثيقة 1 المرجع كلود كاهن تاريخ العرب والشعوب الإسلامية ص 5 و 6 وثيقة 2 أبو موسى البتاني أبو الرياضيات ..... لقد بنى المأمون مرصدا فلكيا في بغداد، ومرصدا آخر في دمشق على جبل قاسيون، وبنيت بعد المأمون مراصد فلكية كثيرة، فلولا هذه المراصد لما استطاع البتاني أن يصل إلى أسباب الكسوف وتحديد الأرض حول محورها... ولما استطاع (البيروني) أن يحدد خطوط الطول ودوائر العرض ويبحث في دوران الأرض حول محورها.... وهل كان في وسع هؤلاء العلماء أن يصلحوا التقويم، وأن يهتدوا إلى قوانين المد والجزر وأن يصححوا بعض آراء (بطليموس) لولا اعتمادهم على الملاحظة الفلكية؟. إن هذا الاعتماد على الملاحظة والاستقراء هو الذي أعان ابن خلدون على تأسيس علم جديد سماه بعلم العمران."" وثيقة 3 المرجع محمد عبد الرحمان مرحبا الموجز في تاريخ العلوم عند العرب بيروت. 1981 / ص 7",100,JS2
"109 "" نظام الملك: أحد المشاهير في الوزارة استعان. )به ملك شاه (485-487هـ 1092 - 1094م في تنظيم دولته تنظيما إداريا عقلانيا، ولم يكن سياسيا فقط بل كان قائدا عسكريا، وفيلسوفا عالما، واسع الثقافة يحب العلماء ويقربهم، قاد الجيوش عدة مرات وخاض بها معارك كتب له فيها النصر"". وثيقة 4 منمنمة تنقل لنا لحظة وفاة ""نظام الملك"" عمر الخيام الرياضي الشهير كانت دراسته في علم الجبر أول محاولة لحل المعادلات التكعيبية، وعُرف بـ «رباعيته» التي يدعو فيها إلى الوسطية بين الجد والخفة والاستمتاع بمباهج الحياة في قالب إسلامي متألق وقد ترجمت إلى الإنجليزية والألمانية ونالت شعبية كبيرة في أوروبا، توفي سنة 520هـ 1126م لوحات عن الرباعيات عمر الخيام كان المسلمون خلال القرن التاسع ميلادي قد استوعبوا استيعابا تاما المعارف الطبية التي خلفها القدماء وخاصة اليونان واستطاع الأطباء المسلمون في أقصر وقت ممكن أن يجلسوا على عرش الطب وحدهم. ويميزوا أنفسهم باعتبارهم حاملين لواء هذا العلم والمسؤولين عن تقدمه وارتقائه خلال العصور الوسطى برمتها إلى عصر النهضة بعدها ...... وثيقة 5 المرجع جلال مظهر حضارة الإسلام وأثرها في الرقي العالمي 1- وضح عملية التأثير والتأثر بين الشعوب في التطور الحضاري من خلال الوثيقة (1) .. 2 - عرف بأسماء الأعلام في نص الوثيقة (2) . ت حر فقرة تعبر عن موقفك من قتل عالم: الوثيقة (4) أو تدمير بيت الحكمة. قدم مثالا واحدا يدعم فكرة النص: الوثيقة (5) .",101,JS2
"الميدان الثالث التاريخ العام الوضعية الثالثة تأثيرات الحضارة الإسلامية 110 ج - العمارة والفنون قلعة صلاح بالقاهرة بجوار مسجد محمد علي "" صلاح الدين الأيوبي: )1137 - 1193م) (532 - 589هـ( ولد في تكريت وتوفي في دمشق. مؤسس الدولة الأيوبية أكبر ملوك المسلمين أيام الصليبيين هزم الإفرنج في موقعة حطين (1187 م) وفتح بيت المقدس. اشتهر بكرمه وعزة نفسه. وثيقة 1 اهتم السلاطين السلاجقة بالفن ورجاله مما جعل الفنون الجميلة تشهد ارتقاء في النقش والتصوير والزخرفة. كما اعتنوا بالعمارة فقد شيدوا الأبنية الشاهقة والعمائر الضخمة والمساجد الفسيحة والمنارات العالية. من آثار العمارة المملوكة بالقاهرة أبراج خراقان ( في قزوين عهد سلجوقي أما العمارة عند الأيوبيين فتتجلى في تجديد المسجد الأقصى وتزيينه بالفسيفساء والرحام، وفي القاهرة شيد صلاح الدين القلعة المعروفة باسمه. واهتم المماليك من بعدهم بفن المباني فأسسوا المعاهد وبنوا المساجد. واتجه الناصر محمد بن قلاوون بنشاطه إلى الناحية العمرانية فأنشأ القناطر والطرق وغيرها.",102,JS2
"الميدان الثالث التاريخ العام الوضعية الثالثة تأثيرات الحضارة الإسلامية 110 ج - العمارة والفنون قلعة صلاح بالقاهرة بجوار مسجد محمد علي "" صلاح الدين الأيوبي: )1137 - 1193م) (532 - 589هـ( ولد في تكريت وتوفي في دمشق. مؤسس الدولة الأيوبية أكبر ملوك المسلمين أيام الصليبيين هزم الإفرنج في موقعة حطين (1187 م) وفتح بيت المقدس. اشتهر بكرمه وعزة نفسه. وثيقة 1 اهتم السلاطين السلاجقة بالفن ورجاله مما جعل الفنون الجميلة تشهد ارتقاء في النقش والتصوير والزخرفة. كما اعتنوا بالعمارة فقد شيدوا الأبنية الشاهقة والعمائر الضخمة والمساجد الفسيحة والمنارات العالية. من آثار العمارة المملوكة بالقاهرة أبراج خراقان ( في قزوين عهد سلجوقي أما العمارة عند الأيوبيين فتتجلى في تجديد المسجد الأقصى وتزيينه بالفسيفساء والرحام، وفي القاهرة شيد صلاح الدين القلعة المعروفة باسمه. واهتم المماليك من بعدهم بفن المباني فأسسوا المعاهد وبنوا المساجد. واتجه الناصر محمد بن قلاوون بنشاطه إلى الناحية العمرانية فأنشأ القناطر والطرق وغيرها.",103,JS2
الميدان الثالث التاريخ العام الوضعية الثالثة تأثيرات الحضارة الإسلامية 112 2 - في المغرب الإسلامي أ - التطور السياسي والعسكري : على الرغم من أن تونس والجزائر ومراكش (المغرب) شاركت بلدان الشرق الأدنى تراثها المشترك في اللغة والدين، فقد صنعت تاريخها المميز وثقافتها المميزة، وهذه حقيقة ..... وثيقة 1 المرجع روم لاندو/ ترجمة منير بعلبكي الإسلام والعرب / ص 136 لقد تحولت الخلافة العباسية من إمبراطورية إلى عالم إسلامي متعدد القوميات، يشتمل على دولٍ مُنفصلة متنازعة في غالب الأحيان، غير أن شريعة واحدة تجمعها، وهوية حضارية مشتركة تميزها عن بقية أقطار العالم الأخرى. وقد كانت جميع هذه الدول التي استقلت بنفسها كإمارات منفصلة من مغرب العالم الإسلامي. متعلمة تعود للقرن 17م تظهر هارون الرشيد وابنه مع وزيرين é يُعتبر ظهور الدولة الرستمية ثم الدولتين الإدريسية والأغلبية بالمغرب الإسلامي - في الحيز الجغرافي الممتد من طرابلس شرقاً إلى المحيط غرباً - نهاية عهد الارتباط بالدولة الإسلامية في المشرق، وبداية مرحلة الانفصال والاستقلالية، وتعود دواعي هذا المسعى الاستقلالي إلى: 1 . ضُعْفِ الدولة العباسية وعَجْزها عن إدارة أقاليمها المترامية الأطراف. 2 . فشل سياسة الولاة في احتواء الفرق الإسلامية المعارضة لحكمهم. 3. رَغْبَةِ سُكان المغرب الإسلامي في الاستقلال. نجاح دعاة الخوارج في الاستقلال. 5. نجاح دعاة الخوارج والشيعة في استمالة المغاربة ودفعهم لاعتناق مذاهبهم الفكرية والسياسية.,104,JS2
