Educational stage,HistoricalEra,Personality Name,Date,Content,stemmedTashContent,image_link
HSL3,Modern History,جوزيف ستالين,1879-1953,رجل سياسيسوفياتي و رئيسه بعد توليه منصب الأمين العام للحزب الشيوعي تميزت فترة حكمه بتوترشديد و الحدة في العلاقات الدولية أدت إلى ظهور عدة أزمات توفي في 1953/05/03,رجل سياسيسوفياتي و رئيس بعد ول منصب أم عام حزب شيوع تميز تر حكم بتوترشديد و حد في علاق دول دت إلى ظهور عد زم وف في 1953/05/03,https://cdn.britannica.com/50/221250-138-7BA5F519/who-was-Joseph-Stalin.jpg?w=400&h=225&c=crop
HSL3,Modern History,جدانوف أندري الكسندروفيتش,1896 ـ 1948,زعيم سوفياتي و أحد كبار قادة الإتحاد السوفياتيالشيوعي و هو من وصف المعسكر الغربي بالإمبريالية و صاحب فكرة مكتب الكومنفورم 1947/10/06و مبدأ جدانوف 1947/09/22,زعيم سوفيا و حد بار قاد إتحاد السوفياتيالشيوعي و هو من صف معسكر غرب إمبريال و صاحب رة مكتب الكومنفورم 1947/10/06و مبدأ جدانوف 1947/09/22,https://upload.wikimedia.org/wikipedia/ar/0/09/Zhdanov_111.jpg
HSL3,Modern History,مولوتوف,,سوفياتي شيوعي ووزير خارجيةالإتحاد السوفياتي سنة 1949 صاحب فكرة إنشاء منظمة الكوميكون 1949/01/25,سوفيا شيوع وزير خارجيةالإتحاد سوفيات سن 1949 صاحب رة إنشاء منظم كوميك 1949/01/25,https://upload.wikimedia.org/wikipedia/commons/9/9b/Training_bijstandseenheid_12_%28molotov_zoom%29.jpg
HSL3,Modern History,بريجنيف ليونيد اليتش,,:(1906 ـ 1982): رجل دولة وماريشال سوفييتي خلف خروتشوف على رأس الاتحاد السوفييتي اشتهر بالمبدأ المعروف باسمه( مبدأ بريجنيف) كانوراء العديد من التدخلات العسكرية السوفييتية في الخارج مثل: ربيع براغ 1968 ـ دعمالثوار الماركسيين في العالم ـ غزو أفغانستان …,:(1906 ـ 1982): رجل دول ماريشال سوفي خلف خروتشوف على رأس اتحاد سوفييت شتهر مبدأ معروف اسمه( مبدأ ريجنيف) انوراء عديد من تدخل عسكر سوفييت في خارج مثل: ربيع راغ 1968 ـ دعمالثوار ماركسي في عالم ـ غز غانس …,https://cdn.britannica.com/76/115076-050-778BA357/Leonid-Ilich-Brezhnev.jpg
HSL3,Modern History,بولغالين,,زعيم سوفياتي أحد كبار قيادة الحزب السوفياتي في الإتحاد وتولى القيادة بعد وفاة ستالين و أحد القيادة الثلاثية المعتدلة تميزت العلاقات فيعهده بالإعتداله تجاه الصراع ضد الغرب الرأسمالي و أحد دعاة التعايش السلمي,زعيم سوفيا حد بار قياد حزب سوفيات في إتحاد ولى قياد بعد فا ستال و حد قياد ثلاث معتدل تميز علاق عهد إعتداله تجاه صراع ضد غرب رأسمال و حد دعا تعايش سلم,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Bundesarchiv_Bild_183-29921-0001%2C_Bulganin%2C_Nikolai_Alexandrowitsch_%28cropped%29.jpg/243px-Bundesarchiv_Bild_183-29921-0001%2C_Bulganin%2C_Nikolai_Alexandrowitsch_%28cropped%29.jpg
HSL3,Modern History,مالينكوف,,زعيم سوفياتي و أحد كبار الحزب الشيوعي تولى قيادة الإتحاد بعدستالين مع القيادة الثلاثية تميزت العلاقات في عهده بإعتداله و هو أحد دعاة التعايشالسلمي و التفاهم,زعيم سوفيا و حد بار حزب شيوع ولى قياد إتحاد عدستال مع قياد ثلاث تميز علاق في عهد إعتدال و هو حد دعا التعايشالسلمي و تفاهم,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B9_%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC%D0%B8%D0%BB%D0%B8%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87_%D0%9C%D0%B0%D0%BB%D0%B5%D0%BD%D0%BA%D0%BE%D0%B2.jpg/246px-%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B9_%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC%D0%B8%D0%BB%D0%B8%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87_%D0%9C%D0%B0%D0%BB%D0%B5%D0%BD%D0%BA%D0%BE%D0%B2.jpg
HSL3,Modern History,خروتشوف نيكيتا,1894-1971,زعيم سوفياتي رئيس الإتحاد أحد القيادةالمعتدلة و هو من أرسى الدعائم الأولى لسياسة التعايش السلمي و الانفراج الدولي,زعيم سوفيا رئيس إتحاد حد القيادةالمعتدلة و هو من رسى دعائم أولى سياس تعايش سلم و انفراج دول,https://upload.wikimedia.org/wikipedia/commons/6/6d/Nikita_Khruchchev_Colour.jpg
HSL3,Modern History,غورباتشوف ميخائيل,1931,رجل سياسي و زعيم سوفياتي و أمين عام الحزب الشيوعي سنة 1985 ورئيس الإتحاد 1988 و قد جاء بإصلاحات غلاستنوست و بروسترويكا لإصلاح الإتحادالسوفياتي و هو الذي ساهم بإسقاط الإتحاد و تفككه في مؤتمر مالطا 1989/12/04.03.,رجل سياس و زعيم سوفيا و مي عام حزب شيوع سن 1985 رئيس إتحاد 1988 و قد جاء إصلاح غلاستنوست و بروسترويكا إصلاح الإتحادالسوفياتي و هو الذي سا إسقاط إتحاد و فكك في مؤتمر مالط 1989/12/04.03.,https://cdn.britannica.com/85/177585-050-5BE02E0D/Mikhail-Gorbachev-1987.jpg
HSL3,Modern History,أحمد سوكارنو,1901-1970,"سياسي و زعيم أندونيسي ، تزعم حركة تحرير بلاده ضد الهولنديين بعد الحرب العالمية الثانية تولى رئاسة أندونيسيا إلى 1967 ، منضم مؤتمر ""باندونغ"" 1955 و أحد مؤسسي حركة عدم الانحياز .","سياس و زعيم ندونيس ، زعم حرك حرير لاد ضد هولندي بعد حرب عالم ثان ولى رئاس ندونيسي إلى 1967 ، منضم مؤتمر ""باندونغ"" 1955 و حد مؤسس حرك عدم انحياز .",https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Presiden_Sukarno.jpg/1200px-Presiden_Sukarno.jpg
HSL3,Modern History,ونستون تشرشل,1940-1945,"رئيس وزراء بريطانيا لفترتين و (1951- 1955) ، ساهم في صعود بلاده أمام ألمانيا النازية خلال الحرب العالمية الثانية، وهو صاحب مصطلح ""الستار الحديد"" للدلالة على انقسام أوربا إلى معسكرين .","رئيس زراء ريطانيا فتر و (1951- 1955) ، سا في صعود لاد أمام مانيا ناز خلال حرب عالم ثانية، هو صاحب مصطلح ""الستار حديد"" دلال على نقسام رب إلى معسكر .",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Sir_Winston_Churchill_-_19086236948.jpg/265px-Sir_Winston_Churchill_-_19086236948.jpg
HSL3,Modern History,الوحدة الثانيـــــــــــــــــــ ة,,,,http://warq.net/wp-content/uploads/2023/09/Colorful-Modern-Group-Project-Creative-Presentation-6-1024x503.png
HSL3,Modern History,مصالي الحاج 1898 ـ 1974,,زعيم التيار الاستقلالي و أول من طالب به رمز للوطنية والتحرر في الشمال الإفريقي، مؤسس نجم شمال إفريقيا ثم حزب الشعب ثم حركة الانتصار للحريات الديمقراطية غير أن موقفه كان سلبيا من الثورة؟,زعيم تيار استقلال و أول من طالب به رمز وطن تحرر في شمال إفريقي، مؤسس جم شمال إفريقي ثم حزب شعب ثم حرك انتصار حر ديمقراط غير أن موقف كان سلبي من ثورة؟,https://upload.wikimedia.org/wikipedia/commons/3/31/Messali_Hadj_Messali_Clean.jpg
HSL3,Modern History,فرحات عباس 1899 ـ 1985,,أول رئيس للحكومة المؤقتة 1958 احد قادة التيار الإدماجي شارك في صياغة بيان فيفري 1943 التحق بالثورة سنة 1956 أسس الاتحاد الديمقراطي للبيان الجزائري,أول رئيس حكوم مؤقت 1958 حد قاد تيار إدماج شار في صياغ يان فري 1943 تحق ثور سن 1956 سس اتحاد ديمقراط بي جزائر,https://upload.wikimedia.org/wikipedia/commons/6/60/Ferhat_Abbas_-_algerischer_Staatspr%C3%A4sident.jpg
HSL3,Modern History,أحمد بن بلة,,1918 ... أول رئيس للجزائر المستقلة 1962 – 1965 مناضل في حزب الشعب و حركة ا ح د ترأس المنظمة الخاصة احد مفجري الثورة التحريرية تم اعتقاله في عملية القرصنة الجوية الشهيرة 1956.,1918 ... أول رئيس جزائر مستقل 1962 – 1965 مناضل في حزب شعب و حرك ا ح د رأس منظم خاص حد مفجر ثور تحرير تم عتقال في عمل قرصن جو شهير 1956.,https://upload.wikimedia.org/wikipedia/commons/0/03/Ahmed_Ben_Bella_aux_USA%2C_oct.1962_%28cropped%29.jpg
HSL3,Modern History,بن يوسف بن خدة,,1923- 2003 : رئيس الحكومة المؤقتة الجزائرية من 1961 – 1962 مناضل في حزب الشعب و حركة ا ح د,1923- 2003 : رئيس حكوم مؤقت جزائر من 1961 – 1962 مناضل في حزب شعب و حرك ا ح د,https://upload.wikimedia.org/wikipedia/commons/2/23/Benkhedda_19march62.jpg
HSL3,Modern History,مصطفى بن بلعيـد1917- 1956,,مناضل في حزب الشعب و حركة ا ح د عضو لجنة 22 و لجنة 6 قائد الولاية الأولى القي عليه القبض وسجن بقسنطينة أستشهد في 22 مارس 1956.,مناضل في حزب شعب و حرك ا ح د عض جن 22 و جن 6 قائد ولا أولى قي على قبض سج قسنطين ستشهد في 22 مارس 1956.,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=566634274181117
HSL3,Modern History,ديدوش مـراد,,1927- 1956: انخرط في حزب الشعب الجزائري سنة 1943 ساهم في تكوين المنظمة السرية من مفجري الثورة عين قائدا للولاية الثانية،قاد معركة قرب قرية سمندو في ولاية سكيكدة في 18 جانفي 1956.,1927- 1956: نخرط في حزب شعب جزائر سن 1943 سا في كو منظم سر من مفجر ثور عين قائد ولا الثانية،قاد معرك قرب قر سمند في اي سكيكد في 18 جانف 1956.,https://upload.wikimedia.org/wikipedia/commons/b/b3/Didouche_Mourad_in_his_twenties.jpg
HSL3,Modern History,زیغودیوسف,,(( 1956 - 1921 مناضل بحزبالشعبوعضوالمنظمةالخاصةو اللجنة الثوریةللوحدةو العملمن مفجري الثورة نظمھهجوم 20 أوت 1955 ثمعُیِّنعضوابالمجلسالوطنيللثورةالجزائریةاستشھدیوم 25 سبتمبر 1956,(( 1956 - 1921 مناضل بحزبالشعبوعضوالمنظمةالخاصةو لجن الثوریةللوحدةو عملمن مفجر ثور نظمھهجوم 20 وت 1955 ثمعینعضوابالمجلسالوطنيللثورةالجزائریةاستشھدیوم 25 سبتمبر 1956,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=548805117684296
HSL3,Modern History,محمد بوضياف1919- 1992,,انضم إلى صفوف حزب الشعب ثم عضوا في المنظمة السرية عضو مجموعة 22 اعتقل في حادثة اختطاف الطائرة 22 أكتوبر 1956 إلى غاية وقف إطلاق النار استدعي لينصب رئيسا 1992 توفي مقتولا سنة 1994,نضم إلى صفوف حزب شعب ثم عض في منظم سر عض مجموع 22 عتقل في حادث ختطاف طائر 22 كتوبر 1956 إلى غا قف إطلاق نار ستدع نصب رئيس 1992 وف مقتول سن 1994,https://admin.tarikhona.com/public/images/news/1655907187.6021.jpeg
HSL3,Modern History,كريم بلقاسم 1922- 1970,,مناضل بحزب الشعب منذ 1947 و عضو مجموعة 6 كان احد مفجري الثورة و قاد العمليات في منطقة القبائل,مناضل حزب شعب منذ 1947 و عض مجموع 6 كان حد مفجر ثور و قاد عمل في منطق قبائل,https://upload.wikimedia.org/wikipedia/commons/f/f7/Krim_belkacem.jpg
HSL3,Modern History,رابح بيطاط 1925- 2000,,ناضل في صفوف حركة الانتصار للحريات الديمقراطية عضو في اللجنة الثورية للوحدة والعمل وهو عضو في مجموعة 22 ومجموعة 9 اعتقل سنة 1955 و بعد وقف إطلاق النار أطلق سراحه تولى رئاسة المجلس الشعبي الوطني إلى غاية 1990 .,ناضل في صفوف حرك انتصار حر ديمقراط عض في لجن ثور وحد عمل هو عض في مجموع 22 مجموع 9 عتقل سن 1955 و بعد قف إطلاق نار طلق سراح ولى رئاس مجلس شعب وطن إلى غا 1990 .,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Rabah_Bitat_-_1954.jpg/220px-Rabah_Bitat_-_1954.jpg
HSL3,Modern History,حسين ايت احمد 1926,,انضم إلى صفوف حزب الشعب وعند إنشاء المنظمة الخاصة كان من ابرز عناصرها انتقل إلى القاهرة رفقة محمد خيضر 1951 واعتقل في حادثة اختطاف الطائرة .,نضم إلى صفوف حزب شعب عند إنشاء منظم خاص كان من برز عناصر نتقل إلى قاهر رفق محمد خيضر 1951 عتقل في حادث ختطاف طائر .,https://upload.wikimedia.org/wikipedia/commons/f/f6/Ait_ahmed_1958.jpg
HSL3,Modern History,محمد خيضر 1912- 1967,,انخرط في صفوف نجم شمال أفريقيا ثم حزب الشعب الجزائري لجا إلى القاهرة 1951 وأصبح مندوبا لحركة انتصار الحريات الديمقراطية ثم احد عناصر المنظمة الخاصة وكان من بين المختطفين في حادثة الطائرة .1956,نخرط في صفوف جم شمال ريقي ثم حزب شعب جزائر جا إلى قاهر 1951 أصبح مندوب حرك نتصار حر ديمقراط ثم حد عناصر منظم خاص كان من بين مختطف في حادث طائر .1956,https://www.tiktok.com/api/img/?itemId=7456443375600946454&location=0&aid=1988
HSL3,Modern History,[b],,,,https://upload.wikimedia.org/wikipedia/commons/4/41/Certified_B_Corporation_B_Corp_Logo_2022_Black_RGB.svg
HSL3,Modern History,عبد الحميد بن باديس 1889 - 1940,,ولد بقسنطينة، تابع دراسته بتونس ف,لد بقسنطينة، تابع دراس تونس ف,https://upload.wikimedia.org/wikipedia/commons/2/27/Ibn_Badis_2.jpg
HSL3,Modern History,"جامعة الزيتونة و بعد عودته للجزائر انخرط في العمل الوطني وأسس سنة 1931 ""جمعية العلماء المسلمين الجزائريين "" رائد حركة الإصلاح و غرس القيم والثوابت الوطنية - الإسلام –العروبة",,,,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=1926506601006957
HSL3,Modern History,العربي بن مهيـدي 1923-1957,,ولد بضواحي عين مليلة عين قائد للولاية,لد ضواح عين مليل عين قائد ولا,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Larbi_ben_M%27hidi.jpg/1200px-Larbi_ben_M%27hidi.jpg
HSL3,Modern History,الخامسة وهران أشرف على إضراب السبعة أيام بالعاصمة،ألقي عليه القبض في 23 فيفري 1957 بمدينة الجزائر أستشهد بالسجن تحت التعذيب يوم 03 مارس 1957.,,,,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=154486720375742
HSL3,Modern History,الشاذلي بن جديد,,1929 - شارك في الثورة .عضو مجلس الثورة سنة 1965 ورئيسا للجزائر مابين 1979 - 1992 عرفت فترته الكثير من الاضطرابات وفي عهده أقرت التعددية السياسية في الجزائر...[/b],1929 - شار في ثور .عض مجلس ثور سن 1965 رئيس جزائر ماب 1979 - 1992 عرف رت كثير من اضطراب في عهد قر تعدد سياس في الجزائر...[/b],https://upload.wikimedia.org/wikipedia/commons/7/75/Chadli.jpg
HSL3,Modern History,هواري بومدين,محمد بوخروبة,مناضل ورجل دولة قائد الولاية الخامسة 1958 ثم قائدا الأركان 1960. وزير للدفاع بعد استقلال الجزائر. نظم العملية التي أطاحت ببن بله والتي حملت اسم التصحيح الثوري في 19 جوان [b]1965. و أصبح رئيسا للدولة و مرسي أسسها السياسة و الاجتماعية و الاقتصادية اشتهر بنشاطه في إطار حركة عدم الانحياز و أحد أقطابها توفي في27 ديسمبر 1978,مناضل رجل دول قائد ولا خامس 1958 ثم قائد أرك 1960. زير دفاع بعد استقلال جزائر. ظم عمل التي طاح بن بله التي حمل سم تصحيح ثور في 19 جو [b]1965. و أصبح رئيس دول و مرس سس سياس و اجتماع و اقتصاد شتهر نشاط في إطار حرك عدم انحياز و حد قطاب وف ي27 ديسمبر 1978,https://upload.wikimedia.org/wikipedia/commons/3/3b/Houari_Boumediene%27s_Portrait.jpg
HSL3,Modern History,محمد البشير الإبراهيمي 1889-1965,,من أعلام الفكر والأدب في الجزائر عضو جمعية العلماء و نائب في رئاسة الجمعية ثم ترأس الجمعية بعد وفاة ابن باديس توفي سنة 1965 . [/b],من علام فكر أدب في جزائر عض جمع علماء و نائب في رئاس جمع ثم رأس جمع بعد فا بن اديس وف سن 1965 . [/b],https://upload.wikimedia.org/wikipedia/commons/d/d8/Bachir_Ibrahimi.jpg
HSL3,Modern History,الأمير خالد,1875-1836,حفيد الأمير عبد القادر شارك الحرب العالمية الأولى في الجيشالفرنسي ومؤسس رابطة النواب المنتخبين الجزائريين بعد الحرب العالمية الأولى والتيمثلت تيار المساواة.,حفيد أمير عبد قادر شار حرب عالم أولى في الجيشالفرنسي مؤسس رابط نواب منتخب جزائري بعد حرب عالم أولى تيمثلت يار مساواة.,https://upload.wikimedia.org/wikipedia/commons/3/35/%D8%A7%D9%84%D8%A3%D9%85%D9%8A%D8%B1_%D8%AE%D8%A7%D9%84%D8%AF.jpg
HSL3,Modern History,الأمير عبد القادر الجزائري,,هو عبدا لقادر بن محيي الدين الجزائري ولد سنة 1807 مونشأ وتعلم في غرب الجزائر لمع اسمه واشتهر في مواجهة الجيوش الفرنسية (ما بين 1832- 1847) قبل اعتقاله ونفيه إلى سوريا حيث ظل بها إلى وفاته.,هو عبد قادر بن محي دين جزائر لد سن 1807 مونشأ علم في غرب جزائر مع سم شتهر في مواجه جيوش فرنس (م بين 1832- 1847) قبل عتقال في إلى سوري حيث ظل بها إلى فاته.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Abd_al-Qadir.jpg/220px-Abd_al-Qadir.jpg
HSL3,Modern History,عبد الرحمان فارس,,ولد في 30 جانفي 1911، مع إندلاع الثورة حالت فرنسا استغلاله لمواجهة الثورة لكنها فشلت، إستقر سنة 1956 بفرنسا كان له دور في فيدرالية جبهة التحرير الوطني بفرنسا، عين على رأس الهيئة التنفيذية المؤقتة (مارس- سبتمبر 1962).,لد في 30 جانف 1911، مع إندلاع ثور حال رنس استغلال مواجه ثور لكن شلت، إستقر سن 1956 فرنسا كان له دور في يدرال جبه تحرير وطن فرنسا، عين على رأس هيئ تنفيذ مؤقت (مارس- سبتمبر 1962).,https://upload.wikimedia.org/wikipedia/commons/f/f4/Abderrahmane_Far%C3%A8s.jpg
HSL3,Modern History,عبان رمضان,,عضو في المنظمة الخاصة. لعب دورا مهما في إعداد ميثاق الصومام. صاحب فكرة (أولوية الداخل على الخارج و اولوية العمل السياسي على العسكري). قتل في 26 ديسمبر بالمغرب .,عض في منظم خاصة. عب دور مهما في إعداد ميثاق صومام. صاحب رة (أولو داخل على خارج و اولو عمل سياس على عسكري). قتل في 26 ديسمبر مغرب .,https://upload.wikimedia.org/wikipedia/commons/5/58/Abane_Ramdane.jpg
HSL3,Modern History,أحمد توفيق المدني,,عضو في جمعة العلماء. وزير الشؤون الثقافية في الحكومة المؤقة.,عض في جمع علماء. زير شؤ ثقاف في حكوم مؤقة.,https://upload.wikimedia.org/wikipedia/commons/c/ca/Ahmed_Tewfik_el_Madani.JPG
HSL3,Modern History,محمد شعباني,,من المساهمين الأوائل في الثورة. كان مساعدا للعقيد سي الحواس بالولاية السادسة (الصحراء)ثم رئيسا لها بعد استشهاد سي الحواس .قتل في بداية الاستقلال.,من مساهم أوائل في ثورة. كان مساعد عقيد سي حواس ولا سادس (الصحراء)ثم رئيس لها بعد استشهاد سي حواس .قتل في دا الاستقلال.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Mohamed_Chaabani.jpg/227px-Mohamed_Chaabani.jpg
HSL3,Modern History,علي كافي,,شارك في هجوم شمال قسنطينة 1955، و في مؤتمر الصومال 1956. سفير الجزائر بعد الاستقلال في سوريا، لبنان، العراق. عين عضوا في المجلس الأعلى للدولة سنة 1992. ثم رئيسا له بعد إغتيال بوضياف.,شار في هجوم شمال قسنطين 1955، و في مؤتمر صومال 1956. سفير جزائر بعد استقلال في سوريا، بنان، عراق. عين عض في مجلس أعلى دول سن 1992. ثم رئيس له بعد إغتيال وضياف.,https://upload.wikimedia.org/wikipedia/commons/9/9e/Ali_Kafi_1992.jpg
